564	191	22.1	4.13	8.83	0.467	0.09	0.39	0.237	1.77	2.45	0.725	1.85	3.51	5.36	1.41	0.87	0.81	2.45	1.62	10.12	9	4	Andray Blatche
656	58	23.1	3.92	9.44	0.416	1.08	3.16	0.340	3.08	3.78	0.816	0.36	1.66	2.01	2.93	0.88	0.16	1.39	1.39	12.01	1	12	Lou Williams
6	0	1.6	0.00	0.17	0.000	0.00	0.00	0.000	0.00	0.00	0.000	0.17	0.50	0.67	0.00	0.33	0.00	0.17	0.00	0.00	2	5	Martynas Andriuskevicius
5	0	1.2	0.00	0.60	0.000	0.00	0.00	0.000	0.00	0.00	0.000	0.00	0.20	0.20	0.00	0.00	0.00	0.20	0.60	0.00	1	5	Mile Ilic
20	0	3.6	0.70	1.30	0.538	0.05	0.10	0.500	0.45	0.65	0.692	0.35	0.35	0.70	0.05	0.05	0.10	0.55	0.45	1.90	1	4	Uros Slokar
539	325	25.3	4.24	7.73	0.549	0.01	0.03	0.176	1.48	2.17	0.681	2.04	5.58	7.62	0.93	0.48	1.23	2.13	1.13	9.96	8	45	Marcin Gortat
87	18	13.2	1.31	2.90	0.452	0.00	0.05	0.000	1.22	1.77	0.688	1.46	2.10	3.56	0.40	0.51	0.17	1.87	0.47	3.84	2	4	Lawrence Roberts
610	331	22.6	3.20	5.60	0.572	0.09	0.27	0.329	1.12	1.64	0.682	2.13	3.58	5.71	1.08	0.62	1.10	3.16	1.14	7.62	1	4	Amir Johnson
85	0	11.6	1.61	4.16	0.387	0.16	0.87	0.189	0.62	0.84	0.746	0.32	0.60	0.92	1.94	0.36	0.02	0.98	0.78	4.01	2	12	Roko Ukic
17	0	8.5	1.35	2.24	0.605	0.00	0.00	0.000	0.06	0.35	0.167	1.12	1.00	2.12	0.12	0.12	0.41	1.47	0.12	2.76	1	34	Chris Taft
23	0	9.2	1.00	2.48	0.404	0.00	0.00	0.000	0.13	0.26	0.500	0.70	1.17	1.87	0.74	0.30	0.35	1.78	0.61	2.13	1	5	Robert Whaley
16	0	5.8	1.06	2.50	0.425	0.25	0.81	0.308	0.44	0.50	0.875	0.44	0.75	1.19	0.19	0.19	0.06	0.50	0.19	2.81	2	3	Dijon Thompson
30	0	7.8	1.13	3.07	0.370	0.27	0.83	0.320	0.17	0.33	0.500	0.30	0.67	0.97	0.53	0.20	0.13	0.43	0.37	2.70	2	2	Alex Acker
281	12	11.0	1.07	2.30	0.467	0.00	0.03	0.111	0.84	1.17	0.717	0.91	1.41	2.33	0.35	0.21	0.55	1.97	0.57	2.99	8	5	Solomon Jones
1085	1014	36.2	6.56	14.87	0.441	1.60	4.34	0.369	2.40	3.00	0.800	0.91	3.19	4.10	4.19	0.90	0.21	1.83	2.04	17.13	1	2	Joe Johnson
618	107	22.5	3.98	9.40	0.423	1.31	3.65	0.360	1.75	2.20	0.796	0.62	1.72	2.34	2.95	0.88	0.07	2.40	1.42	11.01	1	12	Nate Robinson
1045	430	31.1	5.38	13.15	0.410	1.77	5.07	0.349	3.02	3.51	0.860	0.39	2.04	2.43	3.62	0.96	0.22	1.58	1.98	15.56	1	2	Jamal Crawford
527	410	24.9	4.89	8.98	0.545	0.00	0.00	1.000	3.15	4.91	0.642	1.80	3.37	5.17	0.54	0.29	0.73	2.97	2.23	12.94	1	5	Eddy Curry
717	493	31.0	5.89	11.07	0.532	0.00	0.04	0.036	2.70	3.49	0.775	2.69	6.61	9.30	2.31	0.81	0.37	2.75	1.86	14.49	1	45	David Lee
936	786	32.0	6.76	14.31	0.472	0.13	0.50	0.261	3.37	4.42	0.763	3.08	6.39	9.47	1.81	0.77	0.29	2.42	2.14	17.02	1	4	Zach Randolph
74	2	5.9	0.70	1.65	0.426	0.00	0.00	0.000	0.49	0.89	0.545	0.36	1.04	1.41	0.09	0.18	0.09	1.35	0.41	1.89	4	5	Randolph Morris
783	487	26.5	3.73	9.40	0.397	1.49	4.20	0.355	1.30	1.81	0.718	1.19	3.49	4.68	1.45	0.78	0.19	1.95	1.11	10.26	1	23	Quentin Richardson
813	85	16.5	2.20	5.05	0.437	0.02	0.10	0.177	1.73	2.33	0.743	1.43	2.71	4.15	0.84	0.60	0.36	2.33	1.30	6.15	1	34	Malik Rose
430	78	24.0	2.53	6.17	0.411	0.80	2.28	0.353	1.58	1.96	0.809	0.37	1.86	2.23	2.30	0.78	0.27	1.93	1.19	7.46	7	12	Fred Jones
629	335	21.6	1.85	4.34	0.426	0.12	0.46	0.250	0.96	1.65	0.583	1.85	2.22	4.07	1.27	0.69	0.51	2.43	1.07	4.77	1	4	Jared Jeffries
357	179	13.4	1.82	3.75	0.485	0.00	0.01	0.000	0.67	1.08	0.620	1.10	1.98	3.08	0.33	0.26	1.08	2.77	1.13	4.31	1	5	Jerome James
671	451	28.9	3.65	9.52	0.383	1.48	4.20	0.354	1.35	1.85	0.729	0.37	2.45	2.82	4.77	1.21	0.16	2.10	1.78	10.13	1	12	Rafer Alston
215	47	11.3	0.97	2.31	0.419	0.00	0.03	0.143	0.64	1.00	0.642	1.23	1.95	3.18	0.34	0.26	0.60	1.29	0.64	2.58	6	5	Loren Woods
755	143	22.2	3.65	8.74	0.417	0.91	2.58	0.354	1.52	1.91	0.793	0.83	2.28	3.11	2.58	0.93	0.09	1.82	1.34	9.73	1	12	Bobby Jackson
977	705	30.7	3.05	6.98	0.437	1.28	3.33	0.384	1.22	1.64	0.743	1.30	2.88	4.18	1.76	1.01	0.93	2.26	0.90	8.61	1	34	Shane Battier
348	82	22.4	2.95	6.97	0.423	1.30	3.34	0.388	0.98	1.27	0.773	0.32	2.11	2.43	2.15	0.73	0.12	1.47	1.26	8.17	6	12	Luther Head
486	476	32.6	6.95	13.26	0.524	0.00	0.02	0.200	5.11	6.14	0.833	2.54	6.71	9.25	1.58	0.39	1.89	3.28	2.70	19.03	9	5	Yao Ming
576	543	37.6	6.15	14.35	0.429	1.00	2.92	0.341	4.84	6.07	0.797	1.67	3.91	5.58	6.03	1.47	0.39	3.14	3.52	18.14	1	12	Steve Francis
54	0	9.2	1.30	2.80	0.464	0.00	0.09	0.000	0.80	1.02	0.782	0.94	1.20	2.15	0.22	0.50	0.22	1.26	0.56	3.39	4	34	Mike Harris
655	452	26.7	5.24	10.55	0.497	0.04	0.14	0.255	2.12	2.85	0.743	1.89	5.11	7.00	1.70	0.65	0.30	2.84	1.60	12.63	8	4	Luis Scola
644	244	18.3	1.63	3.27	0.498	0.00	0.02	0.000	0.49	0.79	0.620	1.74	3.30	5.04	1.21	0.74	0.37	2.31	0.72	3.74	1	4	Chuck Hayes
938	704	32.7	7.15	16.43	0.435	1.15	3.41	0.338	4.14	5.55	0.746	1.39	4.24	5.62	4.44	1.21	0.86	1.77	2.16	19.60	1	23	Tracy McGrady
1196	996	30.8	3.49	6.73	0.518	0.00	0.00	0.000	2.84	4.15	0.684	3.18	7.15	10.33	1.04	0.41	2.75	2.83	1.82	9.81	1	5	Dikembe Mutombo
75	1	8.0	1.09	2.12	0.516	0.00	0.01	0.000	0.44	0.88	0.500	0.93	1.44	2.37	0.15	0.19	0.11	0.97	0.64	2.63	4	45	Andre Brown
983	568	27.9	4.07	8.84	0.460	1.60	3.93	0.408	1.37	1.79	0.769	0.64	3.75	4.38	2.67	0.57	0.23	2.03	1.56	11.11	1	23	Mike Miller
607	280	22.1	2.50	5.09	0.492	0.00	0.01	0.111	1.64	2.88	0.570	1.79	3.70	5.49	0.91	0.53	0.62	2.28	1.27	6.65	1	5	Kwame Brown
735	476	20.4	1.25	3.04	0.411	0.01	0.05	0.206	1.06	1.64	0.647	1.24	2.44	3.68	0.85	0.50	0.49	2.80	0.82	3.57	1	5	Jason Collins
456	37	14.2	1.46	3.57	0.408	0.53	1.43	0.372	1.18	1.37	0.861	0.63	1.68	2.30	1.02	0.65	0.15	1.95	0.72	4.62	1	4	Brian Cardinal
468	208	18.5	2.56	5.56	0.460	0.00	0.01	0.000	0.90	1.57	0.574	1.34	2.87	4.21	0.87	0.44	1.31	2.28	1.22	6.01	1	45	Darko Milicic
287	14	18.5	1.66	4.22	0.393	0.73	2.07	0.352	1.14	1.48	0.769	0.41	1.39	1.80	1.06	0.42	0.08	1.30	0.73	5.18	4	2	Casey Jacobsen
526	109	20.2	3.38	6.90	0.490	0.04	0.21	0.191	2.61	3.60	0.726	1.32	2.71	4.02	0.76	0.41	0.29	1.84	1.19	9.40	8	34	Hakim Warrick
793	287	24.2	2.86	6.53	0.438	0.49	1.40	0.350	1.20	1.54	0.779	0.61	2.65	3.26	2.68	1.15	0.21	2.00	1.34	7.40	1	12	Aaron McKie
82	30	25.8	3.76	9.34	0.402	1.90	5.27	0.361	1.51	1.78	0.849	0.41	2.15	2.56	2.16	0.59	0.01	1.15	1.63	10.93	1	2	Juan Carlos Navarro
1043	937	31.6	4.54	10.94	0.415	1.75	4.53	0.387	4.31	4.82	0.894	0.46	2.41	2.87	5.40	1.01	0.16	2.08	2.05	15.15	1	12	Chauncey Billups
618	188	18.4	2.26	4.57	0.495	0.00	0.01	0.000	1.11	1.96	0.564	1.70	2.47	4.17	0.43	0.37	0.79	1.94	0.79	5.63	1	4	Jason Maxiell
427	115	23.2	3.27	7.88	0.415	0.92	2.58	0.356	0.86	1.08	0.798	0.57	2.54	3.11	1.07	0.73	0.13	2.00	0.88	8.32	7	3	Jarvis Hayes
1015	643	27.6	4.97	10.01	0.497	0.01	0.06	0.117	2.10	3.13	0.670	2.44	5.08	7.53	1.28	0.77	1.09	3.03	1.60	12.05	1	34	Antonio McDyess
436	77	19.5	3.21	7.78	0.413	0.76	2.23	0.341	1.25	1.51	0.833	0.36	1.52	1.87	1.78	0.78	0.08	1.68	1.27	8.44	7	12	Juan Dixon
962	871	31.8	4.68	10.31	0.454	0.59	1.59	0.369	1.59	2.10	0.756	1.15	3.25	4.40	2.45	0.56	0.51	1.25	1.09	11.54	1	34	Tayshaun Prince
1109	956	32.7	5.70	12.20	0.467	0.98	2.91	0.336	2.06	2.85	0.721	1.42	5.25	6.68	1.80	0.98	1.32	2.94	1.53	14.43	1	45	Rasheed Wallace
152	12	12.8	2.05	4.48	0.458	0.75	1.97	0.381	0.53	0.68	0.786	0.51	1.59	2.10	0.43	0.20	0.08	0.94	0.40	5.39	3	34	Walter Herrmann
