42	6	0	1.6	0.00	0.17	.000	0.00	0.00	.000	0.00	0.00	.000	0.67	0.17	0.50	0.67	0.00	0.33	0.00	0.17	0.00	0.00	2
43	5	0	1.2	0.00	0.60	.000	0.00	0.00	.000	0.00	0.00	.000	-1.00	0.00	0.20	0.20	0.00	0.00	0.00	0.20	0.60	0.00	1
44	20	0	3.6	0.70	1.30	.538	0.05	0.10	.500	0.45	0.65	.692	0.77	0.35	0.35	0.70	0.05	0.05	0.10	0.55	0.45	1.90	1
46	520	306	25.1	4.21	7.66	.549	0.01	0.03	.176	1.45	2.13	.678	9.97	2.02	5.54	7.56	0.91	0.48	1.24	2.12	1.09	9.87	8
47	87	18	13.2	1.31	2.90	.452	0.00	0.05	.000	1.22	1.77	.688	3.71	1.46	2.10	3.56	0.40	0.51	0.17	1.87	0.47	3.84	2
48	586	310	22.5	3.20	5.59	.573	0.08	0.24	.340	1.13	1.64	.688	7.66	2.15	3.56	5.71	1.05	0.61	1.09	3.18	1.13	7.61	1
50	85	0	11.6	1.61	4.16	.387	0.16	0.87	.189	0.62	0.84	.746	2.41	0.32	0.60	0.92	1.94	0.36	0.02	0.98	0.78	4.01	2
51	17	0	8.5	1.35	2.24	.605	0.00	0.00	.000	0.06	0.35	.167	2.62	1.12	1.00	2.12	0.12	0.12	0.41	1.47	0.12	2.76	1
54	23	0	9.2	1.00	2.48	.404	0.00	0.00	.000	0.13	0.26	.500	1.64	0.70	1.17	1.87	0.74	0.30	0.35	1.78	0.61	2.13	1
57	16	0	5.8	1.06	2.50	.425	0.25	0.81	.308	0.44	0.50	.875	1.75	0.44	0.75	1.19	0.19	0.19	0.06	0.50	0.19	2.81	2
59	30	0	7.8	1.13	3.07	.370	0.27	0.83	.320	0.17	0.33	.500	1.36	0.30	0.67	0.97	0.53	0.20	0.13	0.43	0.37	2.70	2
60	281	12	11.0	1.07	2.30	.467	0.00	0.03	.111	0.84	1.17	.717	2.35	0.91	1.41	2.33	0.35	0.21	0.55	1.97	0.57	2.99	8
61	1062	991	36.2	6.62	14.95	.443	1.61	4.35	.371	2.41	3.02	.800	10.57	0.92	3.18	4.10	4.19	0.90	0.22	1.83	2.04	17.26	1
62	616	106	22.5	3.99	9.43	.423	1.32	3.66	.360	1.75	2.20	.796	6.35	0.62	1.72	2.35	2.96	0.88	0.07	2.40	1.42	11.05	1
63	1021	427	31.2	5.42	13.20	.410	1.78	5.09	.350	3.02	3.52	.858	8.40	0.39	2.05	2.44	3.65	0.97	0.22	1.58	1.99	15.63	1
64	527	410	24.9	4.89	8.98	.545	0.00	0.00	1.000	3.15	4.91	.642	6.55	1.80	3.37	5.17	0.54	0.29	0.73	2.97	2.23	12.94	1
65	695	490	31.5	5.99	11.24	.533	0.00	0.04	.036	2.74	3.54	.775	13.00	2.73	6.73	9.46	2.33	0.82	0.38	2.78	1.88	14.72	1
66	916	767	32.0	6.78	14.34	.473	0.13	0.50	.262	3.40	4.45	.763	12.06	3.08	6.40	9.48	1.81	0.78	0.29	2.43	2.15	17.09	1
67	74	2	5.9	0.70	1.65	.426	0.00	0.00	.000	0.49	0.89	.545	0.75	0.36	1.04	1.41	0.09	0.18	0.09	1.35	0.41	1.89	4
68	783	487	26.5	3.73	9.40	.397	1.49	4.20	.355	1.30	1.81	.718	6.67	1.19	3.49	4.68	1.45	0.78	0.19	1.95	1.11	10.26	1
69	813	85	16.5	2.20	5.05	.437	0.02	0.10	.177	1.73	2.33	.743	4.30	1.43	2.71	4.15	0.84	0.60	0.36	2.33	1.30	6.15	1
70	430	78	24.0	2.53	6.17	.411	0.80	2.28	.353	1.58	1.96	.809	5.06	0.37	1.86	2.23	2.30	0.78	0.27	1.93	1.19	7.46	7
71	629	335	21.6	1.85	4.34	.426	0.12	0.46	.250	0.96	1.65	.583	4.61	1.85	2.22	4.07	1.27	0.69	0.51	2.43	1.07	4.77	1
72	357	179	13.4	1.82	3.75	.485	0.00	0.01	.000	0.67	1.08	.620	2.83	1.10	1.98	3.08	0.33	0.26	1.08	2.77	1.13	4.31	1
73	671	451	28.9	3.65	9.52	.383	1.48	4.20	.354	1.35	1.85	.729	7.81	0.37	2.45	2.82	4.77	1.21	0.16	2.10	1.78	10.13	1
74	215	47	11.3	0.97	2.31	.419	0.00	0.03	.143	0.64	1.00	.642	3.07	1.23	1.95	3.18	0.34	0.26	0.60	1.29	0.64	2.58	6
75	755	143	22.2	3.65	8.74	.417	0.91	2.58	.354	1.52	1.91	.793	6.34	0.83	2.28	3.11	2.58	0.93	0.09	1.82	1.34	9.73	1
76	977	705	30.7	3.05	6.98	.437	1.28	3.33	.384	1.22	1.64	.743	7.88	1.30	2.88	4.18	1.76	1.01	0.93	2.26	0.90	8.61	1
77	348	82	22.4	2.95	6.97	.423	1.30	3.34	.388	0.98	1.27	.773	5.37	0.32	2.11	2.43	2.15	0.73	0.12	1.47	1.26	8.17	6
78	486	476	32.6	6.95	13.26	.524	0.00	0.02	.200	5.11	6.14	.833	13.87	2.54	6.71	9.25	1.58	0.39	1.89	3.28	2.70	19.03	9
80	576	543	37.6	6.15	14.35	.429	1.00	2.92	.341	4.84	6.07	.797	12.49	1.67	3.91	5.58	6.03	1.47	0.39	3.14	3.52	18.14	1
81	54	0	9.2	1.30	2.80	.464	0.00	0.09	.000	0.80	1.02	.782	2.52	0.94	1.20	2.15	0.22	0.50	0.22	1.26	0.56	3.39	4
