30	622	226	24.2	3.09	6.58	0.469	1.03	2.58	0.400	1.26	1.71	0.738	1.10	2.31	3.41	1.53	0.87	0.17	1.75	0.89	8.48	8	2	102	201	Jared Dudley
31	367	54	16.4	3.03	5.00	0.606	0.00	0.03	0.000	1.05	1.55	0.679	1.40	2.33	3.73	0.46	0.46	1.02	1.33	0.49	7.11	8	2	95	208	Brandan Wright
32	137	29	14.4	1.67	3.27	0.511	0.00	0.01	0.000	0.90	1.44	0.624	1.34	2.11	3.45	0.34	0.34	1.18	2.36	0.88	4.24	4	3	107	208	Sean Williams
33	445	343	31.1	5.32	12.04	0.442	1.30	3.84	0.339	1.76	2.26	0.777	1.13	4.17	5.29	1.76	0.76	0.70	2.87	1.45	13.70	8	2	102	203	Wilson Chandler
34	531	210	23.0	3.39	7.92	0.428	1.33	3.42	0.387	1.40	1.70	0.822	0.24	1.78	2.02	1.64	0.58	0.06	1.56	1.05	9.50	8	1	95	196	Marco Belinelli
35	113	10	16.4	2.03	4.58	0.442	0.11	0.46	0.231	1.11	1.73	0.638	0.74	1.70	2.44	1.78	0.52	0.07	1.31	1.21	5.27	3	1	91	196	Javaris Crittenton
37	438	96	17.5	2.63	5.65	0.465	0.07	0.24	0.302	1.01	1.28	0.786	1.19	2.37	3.55	0.77	0.35	0.66	2.25	0.87	6.33	8	2	109	213	Jason Smith
38	328	49	18.3	2.31	6.27	0.369	1.35	3.76	0.359	0.48	0.59	0.812	0.23	1.91	2.14	0.74	0.37	0.15	1.46	0.54	6.45	6	1	93	196	Daequan Cook
39	499	182	23.1	3.97	9.58	0.414	1.44	3.88	0.371	1.70	2.01	0.845	0.44	1.43	1.87	3.29	0.61	0.15	2.01	1.72	11.08	7	1	73	183	Aaron Brooks
40	600	455	28.2	4.18	9.20	0.454	1.16	3.04	0.382	2.00	2.44	0.819	0.51	2.50	3.02	1.96	0.49	0.20	2.05	1.22	11.52	8	1	98	196	Arron Afflalo
41	51	1	8.3	1.51	3.57	0.423	0.20	0.67	0.294	0.92	1.18	0.783	0.57	0.39	0.96	0.31	0.10	0.04	0.43	0.37	4.14	3	2	93	198	Alando Tucker
42	138	18	18.3	2.16	5.44	0.397	0.94	2.65	0.355	1.50	1.65	0.908	0.25	1.36	1.61	2.89	0.48	0.04	1.33	1.49	6.76	2	1	88	193	Sarunas Jasikevicius
43	723	538	27.1	4.73	9.68	0.488	0.00	0.03	0.000	1.85	2.50	0.742	2.05	5.65	7.70	1.27	0.45	1.29	2.71	2.13	11.31	1	3	120	213	Chris Kaman
44	596	582	30.1	4.69	8.81	0.532	0.00	0.04	0.087	1.36	2.43	0.559	2.65	6.45	9.10	2.28	0.67	1.63	3.16	1.80	10.74	1	3	118	213	Andrew Bogut
45	733	546	28.8	3.74	8.43	0.443	0.67	1.98	0.341	2.23	2.77	0.802	1.26	3.87	5.13	1.29	0.77	0.48	2.13	1.06	10.37	1	2	108	206	Marvin Williams
46	742	690	35.0	5.96	13.35	0.446	1.40	3.90	0.358	3.62	4.41	0.821	0.44	2.75	3.19	8.40	1.08	0.26	2.56	2.93	16.94	1	1	91	191	Deron Williams
47	725	725	36.1	6.58	13.90	0.473	1.08	2.97	0.365	4.41	5.12	0.862	0.69	3.66	4.35	9.91	2.34	0.10	2.48	2.41	18.65	1	1	79	183	Chris Paul
48	726	633	33.1	4.73	11.49	0.412	1.03	3.10	0.331	2.09	2.66	0.785	0.64	2.54	3.18	6.16	1.35	0.21	2.12	2.43	12.58	1	1	93	185	Raymond Felton
49	580	266	24.0	2.92	7.00	0.418	1.36	3.56	0.382	1.51	1.91	0.791	0.61	2.52	3.12	1.01	0.52	0.28	1.82	0.92	8.72	1	2	104	201	Martell Webster
