61	3	8.0	1.03	2.92	0.354	0.15	0.41	0.36	0.64	0.93	0.684	0.08	0.46	0.54	0.93	0.41	0.02	0.89	0.92	2.85	2	12	84	191
432	278	31.0	5.76	13.43	0.429	0.14	0.56	0.25	1.97	2.44	0.808	0.89	2.22	3.11	2.13	1.06	0.26	2.04	1.58	13.64	8	2	95	201
786	168	20.4	2.39	5.87	0.407	0.66	1.88	0.35	1.07	1.29	0.827	0.26	1.42	1.68	3.5	0.69	0.11	2.16	1.49	6.51	1	12	80	188
84	4	9.9	1.3	3.5	0.371	0.23	0.87	0.26	0.48	0.67	0.714	0.29	0.7	0.99	1.15	0.3	0.05	0.96	0.85	3.3	2	12	86	188
70	3	11.1	0.8	1.66	0.483	0.0	0.0	0.0	0.33	0.54	0.605	1.01	1.76	2.77	0.36	0.26	0.23	1.9	0.54	1.93	2	34	116	206
371	58	12.3	1.41	3.21	0.438	0.04	0.16	0.259	0.58	0.84	0.696	1.19	1.94	3.13	0.6	0.37	0.59	2.17	0.66	3.44	8	5	107	213
655	168	17.6	1.95	4.66	0.417	0.04	0.18	0.2	0.88	1.27	0.691	0.5	1.29	1.79	2.17	1.1	0.24	1.93	1.11	4.81	1	1	86	188
774	420	22.8	2.7	6.04	0.446	0.19	0.62	0.306	1.02	1.57	0.652	1.95	3.09	5.04	1.45	1.06	0.33	2.16	1.15	6.6	1	3	99	203
1424	892	26.9	4.98	10.23	0.487	0.03	0.13	0.211	2.12	2.98	0.713	2.9	5.46	8.36	0.93	0.67	0.52	2.93	1.77	12.12	2	5	111	213
608	197	17.9	1.96	3.98	0.494	0.0	0.01	0.333	0.8	1.41	0.566	1.51	3.16	4.67	0.47	0.42	0.88	2.09	0.85	4.73	1	45	116	206
499	62	14.6	1.76	4.28	0.412	0.22	0.68	0.319	0.77	0.95	0.816	0.28	1.03	1.31	2.08	0.4	0.04	1.17	0.95	4.52	1	2	86	191
430	78	24.0	2.53	6.17	0.411	0.8	2.28	0.353	1.58	1.96	0.809	0.37	1.86	2.23	2.3	0.78	0.27	1.93	1.19	7.46	7	12	95	193
60	6	13.5	2.17	6.4	0.339	0.5	1.47	0.341	1.38	1.7	0.814	0.27	0.95	1.22	0.77	0.45	0.2	1.72	0.98	6.22	3	2	95	191
69	17	13.4	1.46	2.68	0.546	0.0	0.0	0.0	0.87	1.46	0.594	0.83	1.93	2.75	0.42	0.36	0.42	2.38	0.72	3.8	2	5	109	213
987	168	20.0	3.71	7.38	0.503	0.01	0.05	0.13	1.87	2.4	0.78	1.17	2.26	3.43	1.1	0.37	0.94	3.1	1.2	9.3	1	4	102	206
5	0	8.4	0.8	3.0	0.267	0.2	0.8	0.25	0.8	0.8	1.0	0.2	0.4	0.6	0.4	0.2	0.0	1.0	0.6	2.6	3	34	107	201
26	0	4.9	0.62	1.62	0.381	0.35	0.92	0.375	0.08	0.08	1.0	0.12	0.35	0.46	0.42	0.15	0.08	0.62	0.27	1.65	2	34	96	201
208	27	10.8	1.07	2.13	0.502	0.0	0.01	0.0	0.55	0.93	0.591	0.96	1.12	2.08	0.29	0.33	0.24	1.85	0.51	2.69	5	45	120	206
126	31	14.5	1.87	3.71	0.503	0.0	0.0	0.0	0.76	1.02	0.744	1.02	2.1	3.12	0.67	0.4	0.21	1.89	0.73	4.49	5	34	104	206
10	0	11.0	1.0	3.1	0.323	0.0	0.0	0.0	0.7	1.2	0.583	1.2	1.3	2.5	0.3	0.3	0.4	1.9	0.2	2.7	2	4	125	206
474	245	24.5	3.85	7.55	0.51	0.0	0.04	0.05	1.77	2.58	0.689	2.29	4.39	6.69	1.46	0.62	1.59	3.15	1.68	9.48	1	5	95	206
915	610	30.3	4.4	9.33	0.471	0.01	0.06	0.196	2.65	3.56	0.743	2.32	5.16	7.48	1.47	0.96	0.87	2.22	1.56	11.46	1	4	109	198
56	3	12.2	1.84	3.62	0.507	0.11	0.34	0.316	0.95	1.2	0.791	1.16	2.2	3.36	0.32	0.3	0.25	1.79	0.89	4.73	1	4	103	206
832	484	23.5	3.26	7.13	0.457	0.0	0.05	0.103	1.59	2.22	0.715	2.09	4.24	6.33	0.69	0.64	2.55	3.09	1.27	8.12	1	5	107	229
732	622	34.1	6.15	12.48	0.493	0.22	0.71	0.307	5.37	6.4	0.84	0.66	2.61	3.28	9.15	1.47	0.24	2.09	3.08	17.9	1	1	82	185
492	179	18.9	2.71	6.2	0.438	0.43	1.34	0.319	1.17	1.47	0.795	1.17	2.86	4.03	0.58	0.44	0.5	2.08	0.86	7.02	9	34	100	203
200	32	18.3	2.96	6.45	0.458	0.97	2.67	0.363	0.97	1.3	0.747	0.52	1.92	2.44	1.49	0.42	0.07	1.2	0.71	7.86	6	34	93	198
865	766	33.0	5.81	12.78	0.454	0.49	1.72	0.286	2.72	4.3	0.633	1.96	5.64	7.6	3.17	1.23	1.97	2.77	2.49	14.83	1	4	102	206
65	5	6.7	0.65	1.45	0.447	0.0	0.0	0.0	0.23	0.38	0.6	0.4	0.63	1.03	0.12	0.09	0.29	1.35	0.31	1.52	2	5	125	213
85	0	9.9	0.84	2.21	0.378	0.0	0.07	0.0	0.72	1.01	0.709	0.72	1.08	1.8	0.71	0.2	0.32	1.06	0.67	2.39	5	34	100	201
65	0	7.5	1.03	1.95	0.528	0.0	0.0	0.0	0.71	0.83	0.852	1.02	1.02	2.03	0.26	0.14	0.32	1.12	0.37	2.77	2	5	115	213
54	9	11.1	1.24	3.35	0.37	0.39	1.04	0.375	0.69	0.96	0.712	0.44	0.81	1.26	1.02	0.33	0.06	1.15	0.69	3.56	2	12	91	193
541	137	25.2	2.38	5.91	0.403	0.69	2.0	0.344	1.41	1.73	0.816	0.36	2.06	2.42	4.87	0.91	0.1	2.93	1.97	6.86	1	2	88	191
