111	5	9.4	1.44	3.73	0.386	0.41	1.40	0.290	0.66	0.83	0.793	0.79	1.60	2.40	0.18	0.19	0.20	1.07	0.53	3.95	3	5	105	213	Oleksiy Pecherov
607	371	29.8	4.18	10.03	0.417	1.35	3.84	0.351	3.19	3.99	0.799	0.85	3.12	3.97	5.60	1.32	0.26	2.72	2.10	12.89	9	1	89	185	Kyle Lowry
292	40	11.6	1.19	2.37	0.501	0.01	0.02	0.286	0.63	1.08	0.582	1.00	1.62	2.62	0.35	0.31	0.49	1.86	0.79	3.01	6	5	107	211	Hilton Armstrong
490	30	19.4	2.89	6.82	0.423	1.15	3.07	0.374	0.77	1.04	0.734	0.32	1.58	1.90	2.87	0.76	0.11	1.41	1.38	7.69	8	1	82	188	Jordan Farmar
601	548	32.7	4.57	9.74	0.469	0.25	0.91	0.273	1.53	2.52	0.606	1.12	3.67	4.79	8.47	1.82	0.13	2.26	2.88	10.91	9	1	84	185	Rajon Rondo
225	18	12.4	2.17	4.26	0.509	0.00	0.01	0.500	1.65	2.10	0.786	1.22	1.84	3.06	0.31	0.16	0.29	1.89	0.89	5.99	7	4	113	208	Ike Diogu
67	18	8.7	1.06	2.42	0.438	0.25	0.75	0.340	0.34	0.51	0.676	0.12	0.90	1.01	0.52	0.25	0.09	0.79	0.37	2.72	3	3	98	201	James White
68	0	11.6	0.96	2.60	0.367	0.25	0.78	0.321	0.54	0.63	0.860	0.62	1.19	1.81	0.96	0.37	0.13	1.13	0.59	2.71	2	3	104	198	David Noel
287	219	26.9	2.85	6.44	0.442	0.71	2.01	0.352	1.25	1.68	0.745	1.63	3.86	5.49	1.44	1.09	0.24	2.13	1.07	7.66	4	3	111	198	P.J. Tucker
403	49	16.9	3.03	5.48	0.553	0.00	0.07	0.037	1.58	2.39	0.661	1.35	2.54	3.89	0.80	0.45	0.23	2.37	1.02	7.64	6	4	113	201	Craig Smith
7	0	5.4	0.43	1.43	0.300	0.00	0.00	0.000	0.57	0.86	0.667	0.86	1.00	1.86	0.14	0.00	0.29	0.86	0.14	1.43	1	5	109	218	Kosta Perovic
30	0	5.7	0.63	1.73	0.365	0.20	0.53	0.375	0.23	0.37	0.636	0.37	0.67	1.03	0.20	0.10	0.03	0.73	0.50	1.70	1	4	118	208	Damir Markota
486	67	11.8	1.32	2.27	0.581	0.00	0.00	0.000	1.06	1.62	0.651	0.86	1.31	2.17	0.29	0.18	0.52	2.01	0.75	3.70	9	5	104	213	Ryan Hollins
22	0	5.2	0.41	1.64	0.250	0.00	0.14	0.000	0.18	0.41	0.444	0.59	0.82	1.41	0.05	0.18	0.55	0.68	0.18	1.00	2	5	111	216	Cheickh Samb
665	283	22.4	3.51	7.11	0.494	0.02	0.08	0.204	1.91	2.30	0.828	1.55	3.17	4.72	0.80	0.38	0.65	1.87	1.00	8.94	1	4	113	203	Brandon Bass
179	21	14.9	1.66	4.29	0.388	0.92	2.60	0.353	0.53	0.62	0.847	0.22	1.14	1.36	2.41	0.42	0.05	1.12	0.55	4.77	5	1	79	185	Travis Diener
564	191	22.1	4.13	8.83	0.467	0.09	0.39	0.237	1.77	2.45	0.725	1.85	3.51	5.36	1.41	0.87	0.81	2.45	1.62	10.12	9	4	118	211	Andray Blatche
6	0	1.6	0.00	0.17	0.000	0.00	0.00	0.000	0.00	0.00	0.000	0.17	0.50	0.67	0.00	0.33	0.00	0.17	0.00	0.00	2	5	109	218	Martynas Andriuskevicius
5	0	1.2	0.00	0.60	0.000	0.00	0.00	0.000	0.00	0.00	0.000	0.00	0.20	0.20	0.00	0.00	0.00	0.20	0.60	0.00	1	5	116	216	Mile Ilic
20	0	3.6	0.70	1.30	0.538	0.05	0.10	0.500	0.45	0.65	0.692	0.35	0.35	0.70	0.05	0.05	0.10	0.55	0.45	1.90	1	4	108	211	Uros Slokar
87	18	13.2	1.31	2.90	0.452	0.00	0.05	0.000	1.22	1.77	0.688	1.46	2.10	3.56	0.40	0.51	0.17	1.87	0.47	3.84	2	4	109	203	Lawrence Roberts
614	335	22.6	3.21	5.61	0.572	0.09	0.27	0.329	1.11	1.63	0.682	2.13	3.58	5.71	1.07	0.62	1.09	3.16	1.14	7.62	1	4	113	206	Amir Johnson
23	0	9.2	1.00	2.48	0.404	0.00	0.00	0.000	0.13	0.26	0.500	0.70	1.17	1.87	0.74	0.30	0.35	1.78	0.61	2.13	1	5	118	208	Robert Whaley
16	0	5.8	1.06	2.50	0.425	0.25	0.81	0.308	0.44	0.50	0.875	0.44	0.75	1.19	0.19	0.19	0.06	0.50	0.19	2.81	2	3	88	201	Dijon Thompson
30	0	7.8	1.13	3.07	0.370	0.27	0.83	0.320	0.17	0.33	0.500	0.30	0.67	0.97	0.53	0.20	0.13	0.43	0.37	2.70	2	2	84	196	Alex Acker
281	12	11.0	1.07	2.30	0.467	0.00	0.03	0.111	0.84	1.17	0.717	0.91	1.41	2.33	0.35	0.21	0.55	1.97	0.57	2.99	8	5	104	208	Solomon Jones
1092	1021	36.2	6.54	14.85	0.441	1.60	4.34	0.369	2.39	2.99	0.800	0.91	3.19	4.10	4.19	0.90	0.21	1.84	2.04	17.08	1	2	109	201	Joe Johnson
1052	430	31.0	5.36	13.11	0.409	1.76	5.05	0.349	3.01	3.50	0.860	0.39	2.03	2.42	3.61	0.96	0.22	1.58	1.98	15.50	1	2	91	196	Jamal Crawford
527	410	24.9	4.89	8.98	0.545	0.00	0.00	1.000	3.15	4.91	0.642	1.80	3.37	5.17	0.54	0.29	0.73	2.97	2.23	12.94	1	5	134	213	Eddy Curry
943	786	31.9	6.75	14.28	0.472	0.13	0.49	0.260	3.36	4.40	0.763	3.08	6.37	9.45	1.80	0.77	0.29	2.42	2.13	16.98	1	4	118	206	Zach Randolph
74	2	5.9	0.70	1.65	0.426	0.00	0.00	0.000	0.49	0.89	0.545	0.36	1.04	1.41	0.09	0.18	0.09	1.35	0.41	1.89	4	5	125	211	Randolph Morris
629	335	21.6	1.85	4.34	0.426	0.12	0.46	0.250	0.96	1.65	0.583	1.85	2.22	4.07	1.27	0.69	0.51	2.43	1.07	4.77	1	4	109	211	Jared Jeffries
357	179	13.4	1.82	3.75	0.485	0.00	0.01	0.000	0.67	1.08	0.620	1.10	1.98	3.08	0.33	0.26	1.08	2.77	1.13	4.31	1	5	136	213	Jerome James
215	47	11.3	0.97	2.31	0.419	0.00	0.03	0.143	0.64	1.00	0.642	1.23	1.95	3.18	0.34	0.26	0.60	1.29	0.64	2.58	6	5	111	216	Loren Woods
486	476	32.6	6.95	13.26	0.524	0.00	0.02	0.200	5.11	6.14	0.833	2.54	6.71	9.25	1.58	0.39	1.89	3.28	2.70	19.03	9	5	141	229	Yao Ming
662	459	26.7	5.23	10.54	0.496	0.05	0.16	0.287	2.11	2.84	0.743	1.88	5.11	6.99	1.69	0.66	0.31	2.84	1.59	12.62	8	4	109	206	Luis Scola
644	244	18.3	1.63	3.27	0.498	0.00	0.02	0.000	0.49	0.79	0.620	1.74	3.30	5.04	1.21	0.74	0.37	2.31	0.72	3.74	1	4	109	198	Chuck Hayes
1196	996	30.8	3.49	6.73	0.518	0.00	0.00	0.000	2.84	4.15	0.684	3.18	7.15	10.33	1.04	0.41	2.75	2.83	1.82	9.81	1	5	118	218	Dikembe Mutombo
